"Cluster","Slope_Activated_Percentage","Slope_Sex","Intercept","p_value_activated_percentage","p_value_sex","adjusted_p_values_activated","adjusted_p_values_sex"
"HY NSCs_1",32.8198430020378,64.8709963854766,9899.45293784602,0.24249877251308,0.948659296626756,0.750591438730961,0.997597253741406
"PF Fzd5 Glut",22.8168490963646,611.495829252015,11914.1621943402,0.27918730913986,0.372508763532988,0.78900761278656,0.997597253741406
"PO-MEA-BST Mixed Gaba",60.7872895657399,23.4150226857443,11457.1423299424,0.27888307177574,0.971564947037833,0.78900761278656,0.997597253741406
"STR D1 Gaba",-63.3626538083928,-12.4563921280787,13773.2568017486,0.331440921157749,0.984951526385316,0.861746395010147,0.997597253741406
"STR D1-D2 Gaba",61.2882233662929,-118.122585258999,11131.6022136407,0.322650625322075,0.86100877340209,0.861746395010147,0.997597253741406
"AD Serpinb7 Glut",4.27098003335978,-185.063742740777,12549.1905055728,0.75192021772631,0.804184095750843,0.994945991297342,0.997597253741406
"AHN Onecut3 Gaba",23.9924302648296,72.9296382906823,12260.304209922,0.717237473184368,0.914663367805798,0.994945991297342,0.997597253741406
"AV Col27a1 Glut",10.9631913246049,167.777044685302,12272.0610252076,0.579086019723037,0.805733582357589,0.994945991297342,0.997597253741406
"GPe-SI Sox6 Cyp26b1 Gaba",-1.901919081947,21.4284133752915,12702.2459167662,0.95375452035951,0.97459389740628,0.994945991297342,0.997597253741406
"GPi Tbr1 Cngb3 Gaba-Glut",-11.7481887138432,-113.922996102819,12987.5783225408,0.638969742629869,0.870972331387374,0.994945991297342,0.997597253741406
"HY NSCs_2",19.1107786743501,499.977200726351,11127.4746909862,0.452632343089356,0.663899949856397,0.994945991297342,0.997597253741406
"LHA Pmch Glut",-5.42250908777338,269.961724553555,12809.7013476739,0.64690821061392,0.660629364273928,0.994945991297342,0.997597253741406
"Lhx6 Gaba",-3.54625280957305,11.4911081727932,12746.853549549,0.854499611089334,0.986381293454662,0.994945991297342,0.997597253741406
"Lhx6-Lhx8 Gaba",28.213037192591,-113.78930246117,12375.883356221,0.633167748737523,0.875758875484163,0.994945991297342,0.997597253741406
"Mixed",-56.5528267017861,204.176639231255,13790.8269377481,0.474747702233189,0.77349590664687,0.994945991297342,0.997597253741406
"Mixed Meis2 Gaba",11.2650969396197,2.0364636998486,12250.9148405176,0.816681688107906,0.997597253741406,0.994945991297342,0.997597253741406
"NDB-SI-MA-STRv Lhx8 Gaba",-15.0525819988218,-31.6410596913598,13097.4656699094,0.744098531378244,0.963456602035616,0.994945991297342,0.997597253741406
"PH-LHA-PVH-SO-PVa Nxph4 Glut",34.1315498406769,70.9476965251075,11847.2610686738,0.661155617844649,0.916317456258635,0.994945991297342,0.997597253741406
"PO-CEA-BST Meis2 Gaba",-16.0940591823243,13.9516465175028,12985.399547872,0.807219061250655,0.983392842787689,0.994945991297342,0.997597253741406
"PO-COAa-PAA-MEA Barhl2 Glut",-14.7699703526526,54.1346603500416,13065.8800004351,0.597032940810792,0.935455885382036,0.994945991297342,0.997597253741406
"PO-MEA Glut",10.9478619242607,-20.9424961086034,12426.875993179,0.723597178006087,0.975454328796694,0.994945991297342,0.997597253741406
"PV-PT Ntrk1-Sp9 Glut",-16.0951180805079,27.9828549548502,13073.4052983827,0.647665135126413,0.966537379965129,0.994945991297342,0.997597253741406
"PVH-SO-PVa Avp Glut",8.10020688700912,12.323044872419,12544.9797008955,0.807565630437225,0.985342423153759,0.994945991297342,0.997597253741406
"PVN Mixed Glut",-0.484755019826385,167.964589869951,12305.8810673685,0.978321642996252,0.865570173764063,0.994945991297342,0.997597253741406
"PVpo-VMPO-MPN Hmx2 Gaba",11.3649321565694,-6.27561680744105,12531.7202320351,0.721647276701271,0.992568606514143,0.994945991297342,0.997597253741406
"RE-Xi Nox4 Glut",-23.6144998467308,40.6363712377724,13310.8361686641,0.610086953771141,0.951429387331896,0.994945991297342,0.997597253741406
"RT-ZI Gnb3 Gaba_1",0.22590385072583,26.4056205266542,12659.2708738433,0.994945991297342,0.969223491718909,0.994945991297342,0.997597253741406
