"","X.Intercept...Intercept.","X.Intercept..p.value","Props.props_trans","Props.Std..Error","Props.t.value","Props.p.value","r_squared","adj_r_squared","f_statistic.value","f_pvalue.value","cluster","bh_pvalues_props"
"25",12994.3670027338,1.75084907974894e-10,18.8342814492123,267.001504441207,0.0705399824942167,0.944189634735358,0.000150761786556044,-0.0301476999774877,0.00497588913028444,0.944189634735357,"Pitx2 Glut",0.989876229964488
"26",11347.1075683705,4.06677768693416e-06,-412.03811119093,546.129440303051,-0.754469693049853,0.455761424216783,0.0164662217817117,-0.012461242283532,0.56922451773074,0.455761424216783,"PO-CEA-BST Meis2 Gaba",0.989876229964488
"27",11308.9633632826,2.44449346188639e-06,-315.062672214104,393.447178330939,-0.800775020297886,0.428822389689808,0.018510902652827,-0.0103564237397369,0.641240633133081,0.428822389689808,"PO-COAa-PAA-MEA Barhl2 Glut",0.989876229964488
"28",11167.729792355,8.37546226185956e-06,-369.407800064403,451.807201184155,-0.817622647660796,0.419265746580287,0.019282826282099,-0.00956179647430977,0.668506793967851,0.419265746580287,"PO-MEA Glut",0.989876229964488
"29",14254.1813169149,3.05922331752615e-11,343.006572798465,235.757750695346,1.45491111866651,0.160479593441521,0.091568445601776,0.0483098001542415,2.11676636321942,0.160479593441522,"PO-MEA Slc17a7 Glut",0.989876229964488
"30",11208.9580594945,7.94613328571689e-06,-463.548393061691,581.100998534289,-0.797707101228356,0.430576776746968,0.0183719377237675,-0.0104994758725923,0.636336619350147,0.430576776746968,"PO-MEA-BST Mixed Gaba",0.989876229964488
"31",20401.9054111589,0.016368463752168,1675.86007789697,1798.43415298792,0.93184400169041,0.357987316471761,0.0249032047910866,-0.00377611271505773,0.868333243486396,0.357987316471761,"PV-PT Ntrk1-Sp9 Glut",0.989876229964488
"32",5091.86680720636,0.327113631125058,-1346.33768731871,897.305710937877,-1.50042251030755,0.144314772508099,0.0720376443723514,0.0400389424541565,2.25126770943762,0.144314772508099,"PVH-SO-PVa Agtr1a Glut",0.989876229964488
"33",11457.9639240398,6.96376273351401e-05,-269.970477820524,474.004317237025,-0.569552782544649,0.572725177024277,0.0094507249389631,-0.0196830772687142,0.324390372104352,0.572725177024277,"PVH-SO-PVa Avp Glut",0.989876229964488
"34",12626.2941001723,5.01061594304348e-09,-51.6361786027852,318.234643244827,-0.16225819438225,0.87206301846147,0.000773745608387854,-0.0286152618737183,0.0263277216441881,0.87206301846147,"PVpo-VMPO-MPN Hmx2 Gaba",0.989876229964488
