"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct.1-pct.2","dups"
"Gpc5.1",4.73615461540772e-32,-1.84829304905865,0.162,0.402,1.77425824202404e-27,"PH-SUM Foxa1 Glut_subset","Gpc5",-0.24,3
"Spock1",8.04403485206691e-32,0.857203324811837,0.717,0.516,3.01345633628131e-27,"PH-SUM Foxa1 Glut_subset","Spock1",0.201,3
"Tmem132b",1.64865149480959e-30,-0.903683248897945,0.136,0.381,6.17617822985569e-26,"PH-SUM Foxa1 Glut_subset","Tmem132b",-0.245,2
"Inpp4b",3.06967047452444e-30,-0.817979778757047,0.472,0.692,1.14995995316635e-25,"PH-SUM Foxa1 Glut_subset","Inpp4b",-0.22,3
"Npas3",1.1720888774643e-29,-0.958319974162287,0.477,0.668,4.39087935275676e-25,"PH-SUM Foxa1 Glut_subset","Npas3",-0.191,4
"Etl4.1",3.9095098177667e-29,1.76933455720848,0.652,0.509,1.46458056793176e-24,"PH-SUM Foxa1 Glut_subset","Etl4",0.143,3
"Tenm3",4.15098203079032e-29,-0.74017752898604,0.537,0.753,1.55504088837467e-24,"PH-SUM Foxa1 Glut_subset","Tenm3",-0.216,3
"Mcc",6.26878576203147e-29,0.814292416408239,0.279,0.112,2.34841252217223e-24,"PH-SUM Foxa1 Glut_subset","Mcc",0.167,2
"Reln.1",2.77503151722593e-28,-1.32966135555531,0.082,0.297,1.03958230698318e-23,"PH-SUM Foxa1 Glut_subset","Reln",-0.215,6
"Pbx1.1",3.17761954179187e-28,0.797184635587116,0.743,0.612,1.19039983274607e-23,"PH-SUM Foxa1 Glut_subset","Pbx1",0.131,3
"Pid1",7.51553734195863e-28,0.725780961943026,0.588,0.369,2.81547059904454e-23,"PH-SUM Foxa1 Glut_subset","Pid1",0.219,2
"Adamtsl1.1",2.52441722911765e-27,1.45840433071816,0.424,0.245,9.45697182372055e-23,"PH-SUM Foxa1 Glut_subset","Adamtsl1",0.179,3
"March1",2.57166952579404e-27,0.645254362887075,0.855,0.707,9.63398837752963e-23,"PH-SUM Foxa1 Glut_subset","March1",0.148,1
"Dpf3",2.23775772549275e-26,0.631068976835448,0.31,0.133,8.38308799124094e-22,"PH-SUM Foxa1 Glut_subset","Dpf3",0.177,1
"Pdzrn4.1",2.84639898182636e-26,0.565878593360809,0.761,0.568,1.06631798657179e-21,"PH-SUM Foxa1 Glut_subset","Pdzrn4",0.193,5
"Rit2",3.49938222954017e-26,0.5564570466029,0.83,0.716,1.31093857083034e-21,"PH-SUM Foxa1 Glut_subset","Rit2",0.114,2
"Klhl1.1",5.56847328833136e-26,0.800883550664091,0.578,0.395,2.08606146327469e-21,"PH-SUM Foxa1 Glut_subset","Klhl1",0.183,3
"Chd7",6.47833259104907e-26,0.697546752917564,0.3,0.13,2.4269129552588e-21,"PH-SUM Foxa1 Glut_subset","Chd7",0.17,1
"Hs6st3",2.78101009571691e-25,0.937371409491265,0.773,0.646,1.04182200205747e-20,"PH-SUM Foxa1 Glut_subset","Hs6st3",0.127,4
"Ntm.1",3.75374874659036e-25,-0.510015922454518,0.891,0.936,1.40622935544768e-20,"PH-SUM Foxa1 Glut_subset","Ntm",-0.045,4
"Slc1a2",3.7929511045964e-25,0.626747129129975,0.274,0.115,1.4209153428039e-20,"PH-SUM Foxa1 Glut_subset","Slc1a2",0.159,1
"Ptprk.1",2.51942578917842e-24,0.619347550850029,0.576,0.356,9.43827289142021e-20,"PH-SUM Foxa1 Glut_subset","Ptprk",0.22,5
"Fat3",5.38163358952997e-24,-0.80281788703552,0.419,0.611,2.01606757530972e-19,"PH-SUM Foxa1 Glut_subset","Fat3",-0.192,3
"Dach1",2.9086754313728e-23,0.641615652692558,0.572,0.37,1.08964799010088e-18,"PH-SUM Foxa1 Glut_subset","Dach1",0.202,3
"Epha3",4.57979146372773e-23,0.617061033661846,0.339,0.165,1.71568147814168e-18,"PH-SUM Foxa1 Glut_subset","Epha3",0.174,1
"Gm45341",4.44313314172672e-22,-0.598305956560329,0.554,0.743,1.66448653755367e-17,"PH-SUM Foxa1 Glut_subset","Gm45341",-0.189,3
"C130073E24Rik",9.45304255775284e-22,-0.646201318971575,0.455,0.648,3.54129880298537e-17,"PH-SUM Foxa1 Glut_subset","C130073E24Rik",-0.193,2
"Rab3c",1.32459861397527e-21,0.520118805160225,0.78,0.628,4.96221132767415e-17,"PH-SUM Foxa1 Glut_subset","Rab3c",0.152,4
"Iqschfp",1.34277953229044e-21,0.760454660617861,0.797,0.707,5.03032068386645e-17,"PH-SUM Foxa1 Glut_subset","Iqschfp",0.0900000000000001,3
"Pcdh10",2.94103352943229e-21,-0.782733686367701,0.082,0.259,1.10176998079592e-16,"PH-SUM Foxa1 Glut_subset","Pcdh10",-0.177,2
"Astn2.1",2.96125274039186e-21,0.660133579138471,0.831,0.767,1.1093445016056e-16,"PH-SUM Foxa1 Glut_subset","Astn2",0.0639999999999999,4
"Hdac9.1",1.60442635065081e-20,-0.789010398733369,0.388,0.557,6.01050199480806e-16,"PH-SUM Foxa1 Glut_subset","Hdac9",-0.169,5
"Esrrg.2",2.95528987694779e-20,-0.833299389611191,0.303,0.483,1.10711069370218e-15,"PH-SUM Foxa1 Glut_subset","Esrrg",-0.18,5
"Synpr",4.83833682183475e-20,0.609086425330974,0.363,0.193,1.81253774019573e-15,"PH-SUM Foxa1 Glut_subset","Synpr",0.17,1
"9530026P05Rik",2.45214368170874e-19,0.625480733915029,0.259,0.119,9.18622066041727e-15,"PH-SUM Foxa1 Glut_subset","9530026P05Rik",0.14,1
"Tafa2",5.11598856561347e-19,0.662773982896276,0.729,0.615,1.91655163645012e-14,"PH-SUM Foxa1 Glut_subset","Tafa2",0.114,4
"Kif26b",6.12479186688972e-19,-0.623156530466973,0.283,0.48,2.29446952917423e-14,"PH-SUM Foxa1 Glut_subset","Kif26b",-0.197,1
"Zfp804b.1",6.71798685214399e-19,0.929538077752834,0.666,0.517,2.51669223455018e-14,"PH-SUM Foxa1 Glut_subset","Zfp804b",0.149,3
"Robo2",6.77253461720067e-19,-0.656660135694478,0.514,0.698,2.53712691829572e-14,"PH-SUM Foxa1 Glut_subset","Robo2",-0.184,4
"Ldb2",1.01342607666785e-18,-0.709716235291451,0.249,0.432,3.79649676841311e-14,"PH-SUM Foxa1 Glut_subset","Ldb2",-0.183,2
"Csmd2",3.85956373530014e-18,0.508359330064989,0.727,0.585,1.44586976651814e-13,"PH-SUM Foxa1 Glut_subset","Csmd2",0.142,1
"Chsy3.1",2.99902208479496e-17,0.619610008594496,0.603,0.432,1.12349365340589e-12,"PH-SUM Foxa1 Glut_subset","Chsy3",0.171,4
"Utrn.1",4.27381357654567e-17,0.613632046818553,0.354,0.206,1.60105604204554e-12,"PH-SUM Foxa1 Glut_subset","Utrn",0.148,3
"Col11a1",8.31877427815223e-17,1.02229387216711,0.416,0.275,3.11637922008139e-12,"PH-SUM Foxa1 Glut_subset","Col11a1",0.141,3
"Sdk1.1",3.51528111339039e-16,0.741542001226247,0.601,0.447,1.31689461069831e-11,"PH-SUM Foxa1 Glut_subset","Sdk1",0.154,4
"Setbp1",4.34569894393345e-16,0.535482242531386,0.692,0.559,1.62798573837635e-11,"PH-SUM Foxa1 Glut_subset","Setbp1",0.133,2
"Mpped2",2.41041625771482e-15,0.546313919987869,0.351,0.21,9.02990138465124e-11,"PH-SUM Foxa1 Glut_subset","Mpped2",0.141,2
"A830018L16Rik.1",2.99608601560491e-15,-0.664528719153802,0.227,0.394,1.12239374316591e-10,"PH-SUM Foxa1 Glut_subset","A830018L16Rik",-0.167,2
"Dock4.1",6.38802425793774e-15,0.731009561597484,0.63,0.536,2.39308164750864e-10,"PH-SUM Foxa1 Glut_subset","Dock4",0.094,3
"Brinp3",1.11580260838818e-14,-0.51199489214812,0.613,0.754,4.1800197315438e-10,"PH-SUM Foxa1 Glut_subset","Brinp3",-0.141,5
"Pcdh11x.1",2.36450460012126e-14,-0.543275350744842,0.368,0.538,8.85790713297426e-10,"PH-SUM Foxa1 Glut_subset","Pcdh11x",-0.17,3
"Thsd7b",9.4613123023455e-14,0.507559646071505,0.591,0.453,3.54439681470467e-09,"PH-SUM Foxa1 Glut_subset","Thsd7b",0.138,4
"Sema5a",2.80337186552887e-13,0.622874781842402,0.407,0.277,1.05019916826443e-08,"PH-SUM Foxa1 Glut_subset","Sema5a",0.13,3
"Arid5b",8.54707350332511e-13,-0.516731521212755,0.256,0.402,3.20190467581565e-08,"PH-SUM Foxa1 Glut_subset","Arid5b",-0.146,1
"Vwc2l",9.28939509034404e-13,-0.550167698489185,0.273,0.421,3.47999318874468e-08,"PH-SUM Foxa1 Glut_subset","Vwc2l",-0.148,1
"Dpyd.1",2.10024625909094e-12,0.559092252432248,0.465,0.331,7.86794253580647e-08,"PH-SUM Foxa1 Glut_subset","Dpyd",0.134,5
"Trhde",2.51751804580141e-12,-0.640202346922486,0.184,0.323,9.43112610318123e-08,"PH-SUM Foxa1 Glut_subset","Trhde",-0.139,3
"Unc5d",4.1724589731264e-12,0.506265268989236,0.738,0.65,1.56308658051261e-07,"PH-SUM Foxa1 Glut_subset","Unc5d",0.088,3
"Caln1.1",4.53014955935755e-12,0.614874997952614,0.492,0.383,1.69708462792653e-07,"PH-SUM Foxa1 Glut_subset","Caln1",0.109,4
"Kctd16",8.35819713622082e-12,0.542987834840593,0.605,0.508,3.13114781117104e-07,"PH-SUM Foxa1 Glut_subset","Kctd16",0.097,3
"Lcorl",2.88219156807202e-11,-0.50987574493848,0.312,0.444,1.07972660523114e-06,"PH-SUM Foxa1 Glut_subset","Lcorl",-0.132,2
"Fstl4",4.17219876960915e-11,-0.699256595010277,0.189,0.317,1.56298910307098e-06,"PH-SUM Foxa1 Glut_subset","Fstl4",-0.128,4
"Il1rapl2.1",6.44577525483e-11,0.580276033946316,0.513,0.383,2.41471632596441e-06,"PH-SUM Foxa1 Glut_subset","Il1rapl2",0.13,6
"Ephb1.1",7.00907154011005e-11,-0.568396419954424,0.366,0.489,2.62573838035603e-06,"PH-SUM Foxa1 Glut_subset","Ephb1",-0.123,4
"Gpc6",7.67793450655246e-11,-0.50216095409827,0.637,0.725,2.87630782484468e-06,"PH-SUM Foxa1 Glut_subset","Gpc6",-0.088,3
"Vwc2",1.724338840144e-10,-0.500868969909825,0.24,0.374,6.45971816294747e-06,"PH-SUM Foxa1 Glut_subset","Vwc2",-0.134,2
"Schip1",1.91958260375345e-10,0.571592459963904,0.702,0.655,7.19114035018117e-06,"PH-SUM Foxa1 Glut_subset","Schip1",0.0469999999999999,2
"Cntn4.1",2.20248645160461e-10,-0.52370171481727,0.547,0.669,8.25095474500118e-06,"PH-SUM Foxa1 Glut_subset","Cntn4",-0.122,4
"Prkca.1",4.60106094567139e-10,-0.591890168642895,0.295,0.413,1.72364945146742e-05,"PH-SUM Foxa1 Glut_subset","Prkca",-0.118,4
"Kcnip4",4.72890417783897e-10,-0.603022154690963,0.813,0.851,1.77154208310204e-05,"PH-SUM Foxa1 Glut_subset","Kcnip4",-0.038,5
"Galnt18",5.1661895746548e-10,0.617540304179855,0.361,0.255,1.93535793845718e-05,"PH-SUM Foxa1 Glut_subset","Galnt18",0.106,1
"Cpne4.2",2.40998131863232e-08,0.530156678821623,0.366,0.259,0.00090282720158604,"PH-SUM Foxa1 Glut_subset","Cpne4",0.107,7
"Hs3st4",3.33875135985766e-08,0.848238131949552,0.513,0.467,0.00125076303442988,"PH-SUM Foxa1 Glut_subset","Hs3st4",0.046,5
"Sgcd",1.31242003911512e-05,-0.540072643272115,0.601,0.631,0.491658795053308,"PH-SUM Foxa1 Glut_subset","Sgcd",-0.03,4
"Ghr",0.000199511509272361,-0.532247530933602,0.249,0.31,1,"PH-SUM Foxa1 Glut_subset","Ghr",-0.061,2
"Adarb2.2",1.42924795419847e-224,2.51920013276583,0.933,0.321,5.3542486860183e-220,"PVH-SO-PVa Otp Glut_subset","Adarb2",0.612,5
"Reln.2",1.0359050994779e-114,1.86498040444917,0.644,0.204,3.8807076836641e-110,"PVH-SO-PVa Otp Glut_subset","Reln",0.44,6
"Tenm2.2",4.88735962090984e-101,-1.51859005751628,0.698,0.939,1.83090266118525e-96,"PVH-SO-PVa Otp Glut_subset","Tenm2",-0.241,4
"Nrg1.1",3.6579026401115e-96,1.36832430029411,0.957,0.787,1.37032348703857e-91,"PVH-SO-PVa Otp Glut_subset","Nrg1",0.17,3
"Robo2.1",1.31999768375953e-91,1.39162195120008,0.917,0.63,4.94497532289996e-87,"PVH-SO-PVa Otp Glut_subset","Robo2",0.287,4
"Sim1.1",3.30701338338558e-89,1.23928092922037,0.67,0.243,1.23887335368391e-84,"PVH-SO-PVa Otp Glut_subset","Sim1",0.427,4
"Ptprd.2",3.23520284340124e-84,-1.20793974418233,0.777,0.955,1.21197168919497e-79,"PVH-SO-PVa Otp Glut_subset","Ptprd",-0.178,4
"Opcml",5.7150818326164e-82,-1.27868513090288,0.767,0.928,2.14098395613475e-77,"PVH-SO-PVa Otp Glut_subset","Opcml",-0.161,1
"Rbms3.1",1.21150278775069e-75,0.960222140379849,0.945,0.726,4.53853174347163e-71,"PVH-SO-PVa Otp Glut_subset","Rbms3",0.219,4
"Lhfpl3",5.36950075532521e-63,-1.12021439341439,0.591,0.86,2.01152237295993e-58,"PVH-SO-PVa Otp Glut_subset","Lhfpl3",-0.269,3
"Npas3.1",7.04731807718762e-63,-1.58559552588429,0.32,0.686,2.64006629807603e-58,"PVH-SO-PVa Otp Glut_subset","Npas3",-0.366,4
"Hs6st3.1",1.56947612207423e-62,-1.50686300035378,0.334,0.718,5.87957144851446e-58,"PVH-SO-PVa Otp Glut_subset","Hs6st3",-0.384,4
"Lingo2",3.463250383012e-62,-0.827125235341709,0.826,0.969,1.29740285848396e-57,"PVH-SO-PVa Otp Glut_subset","Lingo2",-0.143,1
"Eda",9.89671986976916e-62,1.44195469395934,0.488,0.182,3.70750919761292e-57,"PVH-SO-PVa Otp Glut_subset","Eda",0.306,1
"Tafa1.1",6.48346215790773e-58,-2.49520449073666,0.13,0.508,2.42883459359539e-53,"PVH-SO-PVa Otp Glut_subset","Tafa1",-0.378,4
"Dlg2",1.63384685371831e-56,-0.545916280128523,0.998,0.997,6.12071708339953e-52,"PVH-SO-PVa Otp Glut_subset","Dlg2",0.001,2
"Kcnc2",2.26642169107952e-54,1.01849415045261,0.85,0.631,8.49046893912208e-50,"PVH-SO-PVa Otp Glut_subset","Kcnc2",0.219,2
"Syndig1",2.62647977800001e-53,1.02798526619598,0.47,0.178,9.83931854434363e-49,"PVH-SO-PVa Otp Glut_subset","Syndig1",0.292,1
"Luzp2.1",1.18415536175949e-52,1.04401965345745,0.808,0.524,4.43608281622339e-48,"PVH-SO-PVa Otp Glut_subset","Luzp2",0.284,4
"Il1rapl2.2",1.59265630174228e-52,-2.54685517949029,0.095,0.452,5.96640903758692e-48,"PVH-SO-PVa Otp Glut_subset","Il1rapl2",-0.357,6
"Trhde.1",2.28213080052775e-52,1.12916387591312,0.567,0.26,8.54931840493705e-48,"PVH-SO-PVa Otp Glut_subset","Trhde",0.307,3
"Sox5.2",3.82245890124642e-51,1.31004239631001,0.559,0.258,1.43196955358493e-46,"PVH-SO-PVa Otp Glut_subset","Sox5",0.301,3
"Efna5",9.06081639061486e-51,0.985616014958179,0.767,0.479,3.39436303625214e-46,"PVH-SO-PVa Otp Glut_subset","Efna5",0.288,1
"Unc13c",2.79120708886734e-50,-1.59377428687098,0.158,0.514,1.04564199963148e-45,"PVH-SO-PVa Otp Glut_subset","Unc13c",-0.356,2
"Cdh18",3.7393215359285e-50,-1.00428249157405,0.69,0.905,1.40082463378953e-45,"PVH-SO-PVa Otp Glut_subset","Cdh18",-0.215,2
"Pde4b",1.94817746784758e-49,0.933853062156926,0.901,0.76,7.29826243005062e-45,"PVH-SO-PVa Otp Glut_subset","Pde4b",0.141,3
"Nwd2",3.9638557230775e-48,0.980516654390682,0.435,0.16,1.48493963097929e-43,"PVH-SO-PVa Otp Glut_subset","Nwd2",0.275,1
"Tead1",9.48560865006218e-48,1.02761707942061,0.415,0.154,3.5534987124863e-43,"PVH-SO-PVa Otp Glut_subset","Tead1",0.261,1
"Nxph1.2",1.99547697062311e-47,-1.98458346050584,0.14,0.477,7.4754558273483e-43,"PVH-SO-PVa Otp Glut_subset","Nxph1",-0.337,5
"Prr16.1",5.75801180868711e-47,1.23053100323963,0.747,0.505,2.15706638377037e-42,"PVH-SO-PVa Otp Glut_subset","Prr16",0.242,5
"Grm7",1.68435183952939e-46,-0.903449772001255,0.725,0.889,6.30991886124499e-42,"PVH-SO-PVa Otp Glut_subset","Grm7",-0.164,2
"Grik2.1",3.41299876328452e-46,-0.793567960337544,0.866,0.938,1.27857759670165e-41,"PVH-SO-PVa Otp Glut_subset","Grik2",-0.072,2
"Plxnc1",7.43766539505954e-42,0.900910164956679,0.47,0.203,2.7862982102972e-37,"PVH-SO-PVa Otp Glut_subset","Plxnc1",0.267,1
"Tenm1.1",3.12870246392526e-41,0.73750257737061,0.905,0.729,1.17207451703568e-36,"PVH-SO-PVa Otp Glut_subset","Tenm1",0.176,4
"Cadm2",5.75851193523111e-41,-0.684787430295296,0.858,0.957,2.15725374117628e-36,"PVH-SO-PVa Otp Glut_subset","Cadm2",-0.099,2
"Kctd16.1",8.48208198422021e-37,-1.27627138485719,0.275,0.561,3.17755755292858e-32,"PVH-SO-PVa Otp Glut_subset","Kctd16",-0.286,3
"Arhgap24",1.42670987129947e-36,1.010973567862,0.68,0.45,5.34474051986209e-32,"PVH-SO-PVa Otp Glut_subset","Arhgap24",0.23,2
"Chrm3.2",6.02171071790785e-36,-1.55531229878531,0.162,0.449,2.25585326914264e-31,"PVH-SO-PVa Otp Glut_subset","Chrm3",-0.287,5
"Ebf1.1",9.6515239856977e-36,-2.0416847689237,0.055,0.32,3.61565391552207e-31,"PVH-SO-PVa Otp Glut_subset","Ebf1",-0.265,5
"Foxp2.1",1.98192740863806e-35,1.41603814278938,0.478,0.259,7.4246964582399e-31,"PVH-SO-PVa Otp Glut_subset","Foxp2",0.219,5
"Dcc",2.36349404449246e-35,-0.645539118923061,0.747,0.9,8.85412138947767e-31,"PVH-SO-PVa Otp Glut_subset","Dcc",-0.153,1
"Cntnap5a",7.63644611636744e-35,-0.954629109731961,0.573,0.767,2.86076544411357e-30,"PVH-SO-PVa Otp Glut_subset","Cntnap5a",-0.194,2
"Grm1",8.02051987945416e-35,-1.04463264286546,0.192,0.492,3.00464715724112e-30,"PVH-SO-PVa Otp Glut_subset","Grm1",-0.3,3
"Gm28905",3.18452511890427e-34,0.936143117983011,0.636,0.401,1.19298680004392e-29,"PVH-SO-PVa Otp Glut_subset","Gm28905",0.235,2
"Nckap5",1.04435633908958e-33,0.983171331652074,0.474,0.241,3.9123677174974e-29,"PVH-SO-PVa Otp Glut_subset","Nckap5",0.233,3
"Fstl4.1",1.25198698610717e-32,0.893716750227683,0.512,0.264,4.69019364735469e-28,"PVH-SO-PVa Otp Glut_subset","Fstl4",0.248,4
"Ldlrad4",2.28567983639651e-32,0.876128990997977,0.589,0.355,8.5626138031086e-28,"PVH-SO-PVa Otp Glut_subset","Ldlrad4",0.234,1
"Rgs6.2",1.50752164342207e-31,-1.35860992627283,0.202,0.471,5.64747758058777e-27,"PVH-SO-PVa Otp Glut_subset","Rgs6",-0.269,5
"Ntm.2",1.57756708378068e-31,-0.621362812218681,0.874,0.938,5.90988180925917e-27,"PVH-SO-PVa Otp Glut_subset","Ntm",-0.0639999999999999,4
"Clcn5",1.65977993569924e-31,0.879316486828244,0.326,0.133,6.21786759511649e-27,"PVH-SO-PVa Otp Glut_subset","Clcn5",0.193,1
"Cdh8",2.81597356395973e-31,-0.88555290512778,0.374,0.641,1.05492001653059e-26,"PVH-SO-PVa Otp Glut_subset","Cdh8",-0.267,2
"Oxr1.1",2.86406617190935e-31,-0.920362889885409,0.488,0.691,1.07293646932068e-26,"PVH-SO-PVa Otp Glut_subset","Oxr1",-0.203,3
"Tshz2.1",2.90123453382479e-31,0.813983140092956,0.7,0.481,1.08686048106144e-26,"PVH-SO-PVa Otp Glut_subset","Tshz2",0.219,4
"Ndst3",2.43129848671632e-30,0.824714791226132,0.547,0.309,9.10813039093669e-26,"PVH-SO-PVa Otp Glut_subset","Ndst3",0.238,2
"Elavl2",2.45352840957232e-30,0.754214332387579,0.727,0.531,9.19140812793984e-26,"PVH-SO-PVa Otp Glut_subset","Elavl2",0.196,3
"Slc24a3.1",1.19104748037174e-29,-0.891844048460644,0.419,0.667,4.46190207096862e-25,"PVH-SO-PVa Otp Glut_subset","Slc24a3",-0.248,4
"Astn2.2",3.96496865010746e-29,-0.794338811379181,0.626,0.801,1.48535655570326e-24,"PVH-SO-PVa Otp Glut_subset","Astn2",-0.175,4
"Kcnh7.2",1.00658886104187e-28,-0.800906267937092,0.532,0.742,3.77088319123505e-24,"PVH-SO-PVa Otp Glut_subset","Kcnh7",-0.21,4
"Chl1",8.29730167880488e-28,-0.782335832640745,0.31,0.575,3.10833515491389e-23,"PVH-SO-PVa Otp Glut_subset","Chl1",-0.265,3
"Brinp3.1",9.71808536277037e-28,0.663552311214825,0.854,0.713,3.64058913860104e-23,"PVH-SO-PVa Otp Glut_subset","Brinp3",0.141,5
"A930017M01Rik",4.01821943559092e-27,0.698417429254698,0.67,0.451,1.50530536496107e-22,"PVH-SO-PVa Otp Glut_subset","A930017M01Rik",0.219,1
"Tafa2.1",4.05089749623801e-27,-0.946832725375593,0.447,0.661,1.51754722004068e-22,"PVH-SO-PVa Otp Glut_subset","Tafa2",-0.214,4
"Nebl",4.56891576099939e-27,0.664397326949608,0.765,0.598,1.71160722238559e-22,"PVH-SO-PVa Otp Glut_subset","Nebl",0.167,1
"Gm26871.1",6.73139999771894e-27,0.561534307427727,0.915,0.777,2.52171706714547e-22,"PVH-SO-PVa Otp Glut_subset","Gm26871",0.138,5
"Gm44593",1.04907424940223e-26,0.759890194144701,0.285,0.113,3.93004195311064e-22,"PVH-SO-PVa Otp Glut_subset","Gm44593",0.172,1
"Col11a1.1",3.8240088286287e-26,-1.38403648274842,0.101,0.327,1.43255018738088e-21,"PVH-SO-PVa Otp Glut_subset","Col11a1",-0.226,3
"Ephb1.2",4.75601680309441e-26,-0.98273963790924,0.259,0.502,1.78169901477523e-21,"PVH-SO-PVa Otp Glut_subset","Ephb1",-0.243,4
"Kcnj3",5.86284228259677e-26,-0.74578169512812,0.346,0.607,2.1963379759064e-21,"PVH-SO-PVa Otp Glut_subset","Kcnj3",-0.261,1
"Csmd1",6.81539353352264e-26,-0.522829744339999,0.955,0.958,2.55318272552825e-21,"PVH-SO-PVa Otp Glut_subset","Csmd1",-0.003,1
"Dpp10",1.40419032852794e-25,-0.777690060760296,0.709,0.859,5.26037780873137e-21,"PVH-SO-PVa Otp Glut_subset","Dpp10",-0.15,3
"Nfia.1",1.88013278249895e-25,-1.33905802235244,0.067,0.283,7.04335342979757e-21,"PVH-SO-PVa Otp Glut_subset","Nfia",-0.216,3
"Pdzrn4.2",6.12058211664909e-25,-0.981007064992367,0.423,0.626,2.29289247253908e-20,"PVH-SO-PVa Otp Glut_subset","Pdzrn4",-0.203,5
"Runx1t1",5.37544905550146e-24,-0.803184138674741,0.279,0.516,2.01375072517196e-19,"PVH-SO-PVa Otp Glut_subset","Runx1t1",-0.237,1
"Klf12",3.14570937616858e-23,-0.665251813001687,0.443,0.674,1.17844564650027e-18,"PVH-SO-PVa Otp Glut_subset","Klf12",-0.231,2
"Ralyl",4.02443003651187e-23,-0.501483637300996,0.85,0.949,1.50763198027808e-18,"PVH-SO-PVa Otp Glut_subset","Ralyl",-0.099,3
"Pld5.1",5.18336228796908e-23,0.550486329770355,0.599,0.37,1.94179118031898e-18,"PVH-SO-PVa Otp Glut_subset","Pld5",0.229,4
"Nectin3",6.57714251707817e-23,0.7125243815062,0.318,0.147,2.46392912974782e-18,"PVH-SO-PVa Otp Glut_subset","Nectin3",0.171,1
"Rit2.1",1.92010060231242e-22,0.548881511167622,0.842,0.718,7.19308087638278e-18,"PVH-SO-PVa Otp Glut_subset","Rit2",0.124,2
"Thsd7a.1",2.27658589357045e-22,-0.937344866520175,0.225,0.449,8.52854607449362e-18,"PVH-SO-PVa Otp Glut_subset","Thsd7a",-0.224,4
"Hs6st2",3.11191469313904e-22,-0.64767689385521,0.158,0.399,1.16578548234375e-17,"PVH-SO-PVa Otp Glut_subset","Hs6st2",-0.241,2
"Fat3.1",4.32304564401855e-22,-0.797093242195369,0.405,0.608,1.61949935916223e-17,"PVH-SO-PVa Otp Glut_subset","Fat3",-0.203,3
"Cntn5.1",8.4370192569189e-22,-0.512726514377366,0.617,0.843,3.16067615402696e-17,"PVH-SO-PVa Otp Glut_subset","Cntn5",-0.226,2
"Prkcb",1.01202267852377e-21,-0.694042226187281,0.449,0.636,3.79123935828575e-17,"PVH-SO-PVa Otp Glut_subset","Prkcb",-0.187,2
"Gabrb2",1.40306369400431e-21,-0.67505422458676,0.417,0.626,5.25615721047895e-17,"PVH-SO-PVa Otp Glut_subset","Gabrb2",-0.209,3
"Tafa5",2.75906302452066e-21,0.59818524463394,0.607,0.409,1.03360019024593e-16,"PVH-SO-PVa Otp Glut_subset","Tafa5",0.198,1
"Fign",1.04259299178254e-20,1.08976216943939,0.267,0.122,3.90576186581574e-16,"PVH-SO-PVa Otp Glut_subset","Fign",0.145,1
"Mtus2.1",1.24313349151522e-20,-0.771452044535967,0.237,0.449,4.65702668591433e-16,"PVH-SO-PVa Otp Glut_subset","Mtus2",-0.212,2
"Ncald",1.34598050618371e-20,0.638851853543044,0.656,0.459,5.04231217226541e-16,"PVH-SO-PVa Otp Glut_subset","Ncald",0.197,3
"Sorcs1.1",1.77866923465371e-20,0.525223142163163,0.727,0.515,6.66325068685974e-16,"PVH-SO-PVa Otp Glut_subset","Sorcs1",0.212,3
"Scn9a.1",2.09635251426376e-20,0.587084585441511,0.506,0.31,7.85335578893489e-16,"PVH-SO-PVa Otp Glut_subset","Scn9a",0.196,4
"Mast4.2",2.73711440810432e-20,0.64489431550046,0.741,0.561,1.02537779956404e-15,"PVH-SO-PVa Otp Glut_subset","Mast4",0.18,6
"Ghr.1",5.5956654559503e-20,1.06944205559127,0.441,0.278,2.0962481931081e-15,"PVH-SO-PVa Otp Glut_subset","Ghr",0.163,2
"Pde3a",4.02953674502827e-19,0.715199676068015,0.273,0.125,1.50954505542249e-14,"PVH-SO-PVa Otp Glut_subset","Pde3a",0.148,1
"Cntnap5c.1",4.23651752458601e-19,-0.795726639973076,0.227,0.425,1.58708419506041e-14,"PVH-SO-PVa Otp Glut_subset","Cntnap5c",-0.198,2
"Magi3",7.1445702659713e-19,0.571218351821091,0.601,0.432,2.67649891303817e-14,"PVH-SO-PVa Otp Glut_subset","Magi3",0.169,2
"Cdk14.1",2.48720885925112e-18,0.60145919834356,0.719,0.571,9.31758182852653e-14,"PVH-SO-PVa Otp Glut_subset","Cdk14",0.148,2
"Cdh11.1",2.54820617686665e-18,-0.79921895085677,0.239,0.422,9.54608997977784e-14,"PVH-SO-PVa Otp Glut_subset","Cdh11",-0.183,3
"Ntng1.1",3.65101029297115e-18,0.544196414261523,0.759,0.566,1.36774147595285e-13,"PVH-SO-PVa Otp Glut_subset","Ntng1",0.193,5
"Alcam",3.68653913764827e-18,-0.88556861032785,0.393,0.56,1.3810512917458e-13,"PVH-SO-PVa Otp Glut_subset","Alcam",-0.167,2
"Mamld1",3.95827984174269e-18,0.530399759846455,0.316,0.158,1.48285079431365e-13,"PVH-SO-PVa Otp Glut_subset","Mamld1",0.158,1
