"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct.1-pct.2","dups"
"Prkg1",2.23141469975585e-32,-0.690262092464808,0.498,0.739,8.35932574822538e-28,"PH-ant-LHA Otp Bsx Glut_subset","Prkg1",-0.241,3
"Alk.1",2.29854308790702e-32,-1.01995189429276,0.189,0.414,8.61080211591727e-28,"PH-ant-LHA Otp Bsx Glut_subset","Alk",-0.225,5
"Mir99ahg",4.62231504783911e-32,-0.632356862886366,0.562,0.761,1.73161166322149e-27,"PH-ant-LHA Otp Bsx Glut_subset","Mir99ahg",-0.199,2
"Syt1",4.92732701113181e-32,-0.589198452312733,0.71,0.889,1.8458752449102e-27,"PH-ant-LHA Otp Bsx Glut_subset","Syt1",-0.179,1
"Cacna2d3",5.30786879171189e-31,-1.06737841117828,0.134,0.349,1.98843380675111e-26,"PH-ant-LHA Otp Bsx Glut_subset","Cacna2d3",-0.215,4
"Plcl1",4.31609906492212e-30,-0.817284719431603,0.133,0.352,1.61689703170113e-25,"PH-ant-LHA Otp Bsx Glut_subset","Plcl1",-0.219,2
"Plcb1",8.62349545771429e-30,-0.669096209730808,0.372,0.618,3.23053386836893e-25,"PH-ant-LHA Otp Bsx Glut_subset","Plcb1",-0.246,3
"Chrm3.1",1.49280298783007e-29,-1.06851984233034,0.239,0.455,5.592338553009e-25,"PH-ant-LHA Otp Bsx Glut_subset","Chrm3",-0.216,5
"Ebf3",5.09923792873729e-29,0.708650751655536,0.488,0.298,1.91027651286356e-24,"PH-ant-LHA Otp Bsx Glut_subset","Ebf3",0.19,5
"Caln1",1.04462140789934e-28,-0.762246123678154,0.227,0.446,3.91336071827252e-24,"PH-ant-LHA Otp Bsx Glut_subset","Caln1",-0.219,4
"Rtl4",1.96775410097042e-28,0.687059991832804,0.653,0.484,7.37160041305538e-24,"PH-ant-LHA Otp Bsx Glut_subset","Rtl4",0.169,4
"Ptprm",2.41467096005798e-28,-0.797356494833777,0.231,0.453,9.0458403505692e-24,"PH-ant-LHA Otp Bsx Glut_subset","Ptprm",-0.222,2
"Hs3st5",3.70506892525232e-28,0.872524739408243,0.583,0.429,1.38799292077803e-23,"PH-ant-LHA Otp Bsx Glut_subset","Hs3st5",0.154,3
"Aff3",8.87371536223298e-28,-0.608729813119721,0.388,0.617,3.32427124899972e-23,"PH-ant-LHA Otp Bsx Glut_subset","Aff3",-0.229,1
"Kcnh7",2.40674036414876e-27,-0.659492196546421,0.569,0.751,9.0161307521741e-23,"PH-ant-LHA Otp Bsx Glut_subset","Kcnh7",-0.182,4
