"","BaselineProp.clusters","BaselineProp.Freq","PropMean.F","PropMean.M","PropRatio","Tstatistic","P.Value","FDR"
"PH-LHA-MM Foxb1 Glut","PH-LHA-MM Foxb1 Glut",0.0106160726721243,0.0161578650083202,0.00291898206524534,5.53544511311076,2.94612867721456,0.00790575138105131,0.0395287569052565
"GPe-SI Sox6 Cyp26b1 Gaba","GPe-SI Sox6 Cyp26b1 Gaba",0.00529256101146722,0.00395144621896241,0.00731123353237412,0.540462317537174,-2.88205792776836,0.00904001020587972,0.0419714759558701
"HY NSCs_1","HY NSCs_1",0.00286293505006267,0.00180960195117852,0.00427767770555739,0.423033728985136,-2.85550233023392,0.00968669356848153,0.0419756721300866
"ARC Mixed Glut","ARC Mixed Glut",0.012550488246491,0.00726101394490886,0.0204583547828251,0.354916806458186,-2.79882673192097,0.0109893709722411,0.0446443195747296
"HY NSCs_2","HY NSCs_2",0.00837215060585896,0.00596535735851471,0.011300137169393,0.52790132270891,-2.69994926506453,0.0136713319366786,0.0522727397578889
"STR D1 Gaba","STR D1 Gaba",0.0308268465931073,0.024403995429274,0.0403644009014515,0.604592038634629,-2.65921979594742,0.0148326456273983,0.0528849160332455
"TRS-BAC Sln Glut","TRS-BAC Sln Glut",0.00346647270926508,0.00213363243628603,0.00554800074060809,0.384576811727709,-2.64383444490514,0.0154586677635641,0.0528849160332455
"PVH-SO-PVa Agtr1a Glut","PVH-SO-PVa Agtr1a Glut",0.00332719478791068,0.00240121582643879,0.00465372935424952,0.515976680991586,-2.55956447331541,0.018562338931869,0.0602680496945677
"PO-CEA-BST Meis2 Gaba","PO-CEA-BST Meis2 Gaba",0.0298209504944366,0.0250909434718174,0.0373040806556125,0.672605865922671,-2.51314827158966,0.0203790417886265,0.0602680496945677
"PO-COAa-PAA-MEA Barhl2 Glut","PO-COAa-PAA-MEA Barhl2 Glut",0.0106160726721243,0.00799553809443988,0.0140557075850889,0.568846359817701,-2.5011427029942,0.0209436533459267,0.0602680496945677
"SI-MA-LPO-LHA Skor1 Glut","SI-MA-LPO-LHA Skor1 Glut",0.0242343583156657,0.01966113447081,0.031744800978899,0.619349747502873,-2.48598483476742,0.0216046124190322,0.0602680496945677
