"","X","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","cellType"
"104",15,"Ptprk",76.0303456810902,0.599970427034216,0.152151434063508,3.94324529852139,8.03863586316307e-05,0.025399886633135,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"105",16,"Gm42768",6.21458381500265,1.26633117839838,0.32812309572778,3.8593174174151,0.000113704171959647,0.0293356763655889,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"106",17,"Ptprz1",45.2677226086929,0.610762444862422,0.158227038197044,3.86003840950259,0.00011336920376285,0.0293356763655889,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"107",18,"Sv2c",12.4139737986287,1.04945138540921,0.271258378816156,3.86882569301377,0.000109360785011544,0.0293356763655889,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"108",19,"Tmeff2",121.879106937376,0.381503548806335,0.0993231298758743,3.84103430170904,0.000122516991034677,0.0299457319139495,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"109",20,"Kcnc2",142.980517421996,0.446191648049213,0.117230634089345,3.80610112292967,0.000141174680017985,0.0323498700289045,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"110",21,"March3",15.0888070463582,0.863600891542072,0.227425413133671,3.79729283391247,0.00014628494199117,0.0323498700289045,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"111",22,"Chd7",9.77515336927332,-1.94423555692958,0.513931199634919,-3.78306582342287,0.000154908426821047,0.0326997606434973,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"112",23,"Nlgn1",798.189534636229,0.316616316524808,0.0841133668965279,3.76416172847169,0.000167108709980099,0.0337414282238079,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"113",24,"Fgf13",58.7978100471143,0.474034815546185,0.128710354013863,3.68295790325561,0.000230543242486059,0.0446101174210524,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"114",25,"Sema6d",102.056847238622,-0.537248366570362,0.147655133444882,-3.63853497021091,0.000274193400352339,0.0490345514072336,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"115",26,"Stk38",18.1470064288893,-1.06910223549668,0.293852878204058,-3.63822278015694,0.000274525912271334,0.0490345514072336,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"116",27,"Prkn",142.699401609949,0.335485036681929,0.0924940853418303,3.62709718618307,0.000286625432090192,0.049299574319513,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"117",28,"Pdzrn4",134.189665021485,0.624919253381474,0.17413873471754,3.58862865516463,0.000332421938333959,0.0551345529151038,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"118",29,"Kcnk9",12.9794073529635,0.903853302406841,0.252928151641731,3.57355753616204,0.000352163817235567,0.0563947850773094,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
"119",30,"Gm43341",8.62690694218571,1.06312476422016,0.301310625469966,3.52833479590028,0.000418182884642282,0.0606887911337111,"PH-LHA-PVH-SO-PVa-Nxph4-Glut"
