"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Epha6.3",0,1.48878675421854,0.925,0.685,0,"19","Epha6"
"B020031H02Rik",0,1.48023366659955,0.254,0.01,0,"19","B020031H02Rik"
"Cnksr2.3",0,1.47468721407077,0.761,0.447,0,"19","Cnksr2"
"Plcb1.7",0,1.4681078176685,0.969,0.674,0,"19","Plcb1"
"Tiam1.2",0,1.42333954240841,0.575,0.311,0,"19","Tiam1"
"Trpm3.5",0,1.41752514835635,0.91,0.506,0,"19","Trpm3"
"Csgalnact1.1",0,1.40689063598872,0.454,0.175,0,"19","Csgalnact1"
"Sema5b",0,1.35512269354899,0.313,0.076,0,"19","Sema5b"
"Gria1.5",0,1.35494427759341,0.936,0.702,0,"19","Gria1"
"Kcnd2.5",0,1.34019671942679,0.997,0.915,0,"19","Kcnd2"
"Slc35f1.2",0,1.33914154273457,0.864,0.629,0,"19","Slc35f1"
"Grin2a.10",0,1.31979683743744,0.874,0.605,0,"19","Grin2a"
"Sipa1l1.3",0,1.30772205063744,0.701,0.42,0,"19","Sipa1l1"
"Celf2.9",0,1.25526523575581,0.99,0.87,0,"19","Celf2"
"Ssbp2.4",0,1.2363638698669,0.783,0.551,0,"19","Ssbp2"
"Gabrg3.4",0,1.13776847028823,0.928,0.734,0,"19","Gabrg3"
"Ppp3ca.6",0,0.991743943588419,0.894,0.765,0,"19","Ppp3ca"
"Cacna2d3.10",0,0.934304344721025,0.869,0.596,0,"19","Cacna2d3"
"Csmd3.1",0,0.89912033627861,0.966,0.917,0,"19","Csmd3"
"Nrxn3.9",0,0.858006510968699,1,0.887,0,"19","Nrxn3"
"Dlg2.3",0,0.80648714991159,0.997,0.974,0,"19","Dlg2"
"Syt1.2",0,0.794799572256097,0.99,0.879,0,"19","Syt1"
"Robo1.3",0,0.741084476082857,0.979,0.835,0,"19","Robo1"
"Meg3.2",0,-0.55188545357068,1,0.957,0,"19","Meg3"
"Magi2.2",0,-0.921732076951759,0.884,0.979,0,"19","Magi2"
"Nrxn1.3",0,-0.973569630345999,0.936,0.965,0,"19","Nrxn1"
"Ctnnd2.1",0,-0.985995845876948,0.691,0.917,0,"19","Ctnnd2"
"Dscam.3",0,-1.08524170559247,0.449,0.807,0,"19","Dscam"
"Frmd5.3",0,-1.40418672287882,0.329,0.751,0,"19","Frmd5"
"Ccdc85a.4",0,-1.41984967031127,0.145,0.575,0,"19","Ccdc85a"
"Spock1.3",0,-1.43783410280043,0.177,0.612,0,"19","Spock1"
"Cntnap2.5",0,-1.46143810434712,0.812,0.925,0,"19","Cntnap2"
"Mast4.10",0,-1.70576240169695,0.217,0.63,0,"19","Mast4"
"March1.3",0,-1.77460291975829,0.229,0.667,0,"19","March1"
"Oxr1.4",0,-1.83636622391489,0.181,0.672,0,"19","Oxr1"
"Cntn4.3",0,-1.92144488825458,0.262,0.651,0,"19","Cntn4"
"Edil3.8",0,-1.947791501582,0.212,0.672,0,"19","Edil3"
"Egfem1.4",0,-1.94883330302206,0.139,0.59,0,"19","Egfem1"
"Rmst.6",0,-1.97552833578219,0.085,0.492,0,"19","Rmst"
"Unc5c.4",0,-1.9820478185403,0.273,0.78,0,"19","Unc5c"
"Zfhx3.5",0,-2.11422799798491,0.107,0.598,0,"19","Zfhx3"
"Nxph1.9",0,-2.45894370451883,0.1,0.506,0,"19","Nxph1"
"Ptprd.4",0,-2.49158251205714,0.513,0.951,0,"19","Ptprd"
"Dlgap2.5",1.25775860802549e-304,0.958877280471982,0.812,0.53,4.7118152973851e-300,"19","Dlgap2"
"Cpne5.1",5.80798103611595e-303,1.17373491626098,0.312,0.096,2.17578585574976e-298,"19","Cpne5"
"Gabrb1.3",7.54232567317798e-303,-1.07962029850974,0.578,0.841,2.82550604368594e-298,"19","Gabrb1"
"Cdh12.4",2.33017228327881e-294,-1.8603169420851,0.25,0.62,8.7292914076191e-290,"19","Cdh12"
"B3galt1.1",1.52122311953671e-290,1.03521036259342,0.865,0.744,5.69880605040842e-286,"19","B3galt1"
"Sv2c.1",9.9010425831391e-288,1.27402904989745,0.371,0.134,3.70912857249557e-283,"19","Sv2c"
"Tshz2.5",4.85032828281022e-283,-1.72347150377932,0.065,0.449,1.81702998130636e-278,"19","Tshz2"
"Cntn6.3",6.42517868110773e-283,-1.52974005884983,0.094,0.485,2.40700043751658e-278,"19","Cntn6"
"Astn2.2",2.39484972636534e-280,-1.30149937738152,0.273,0.666,8.97158604490982e-276,"19","Astn2"
"Nfib.1",9.34286737621425e-274,1.30453138101887,0.44,0.182,3.50002497647738e-269,"19","Nfib"
"5730522E02Rik.4",1.23141487817482e-268,1.14763508080999,0.67,0.417,4.61312641661851e-264,"19","5730522E02Rik"
"Bcl11a.2",1.36301301622968e-264,1.22400910297705,0.459,0.207,5.10611936139962e-260,"19","Bcl11a"
"Lrfn5.2",3.93660830862494e-264,-0.88695990056015,0.606,0.854,1.47473220457707e-259,"19","Lrfn5"
"Necab1.2",1.81366762298571e-262,1.27259543505599,0.468,0.214,6.79436164922909e-258,"19","Necab1"
"Pde4b.9",3.08641487734698e-259,0.567807480075491,0.906,0.735,1.15623274135172e-254,"19","Pde4b"
"Elavl2.3",4.81043112806466e-258,-1.46507197062521,0.09,0.46,1.80208370919558e-253,"19","Elavl2"
"Slc24a3.4",7.70854976523013e-258,-1.2170749497224,0.247,0.627,2.88777691305051e-253,"19","Slc24a3"
"Frmd4a.2",1.21916958611663e-254,-0.847374863263001,0.774,0.908,4.5672531035101e-250,"19","Frmd4a"
"Grm5.3",1.27249899282477e-253,0.693824081825237,0.955,0.839,4.76703572692017e-249,"19","Grm5"
"Lrrk2.1",2.29313503500931e-252,1.38549435012932,0.399,0.17,8.59054246815187e-248,"19","Lrrk2"
"Slc8a3.1",3.31679749746386e-252,-1.22365991362071,0.118,0.493,1.24253867849991e-247,"19","Slc8a3"
"Efna5.4",1.23167040291624e-249,-1.36565395637964,0.155,0.531,4.61408366340483e-245,"19","Efna5"
"Prkce.2",3.47359002631493e-242,0.896580106849754,0.815,0.697,1.3012762956581e-237,"19","Prkce"
"Grm1.7",8.87045962392124e-242,-1.58291620917907,0.227,0.574,3.32305158431338e-237,"19","Grm1"
"Chn2",1.33159123046053e-241,1.23240053282315,0.441,0.206,4.98840706755122e-237,"19","Chn2"
"Dgkb.4",9.30190571141154e-236,0.79985908808576,0.854,0.657,3.48467991760899e-231,"19","Dgkb"
"Pde1a.2",1.32540970370386e-233,1.18383069321073,0.603,0.349,4.96524983201539e-229,"19","Pde1a"
"Npas3.5",4.89955545761567e-232,-1.81642309440151,0.156,0.503,1.83547146553198e-227,"19","Npas3"
"Grik1.2",1.67656609783743e-229,-1.52333356651314,0.107,0.458,6.28075191571857e-225,"19","Grik1"
"Nrg3.3",2.28164002649705e-229,-0.695104488257773,0.937,0.931,8.54747986726324e-225,"19","Nrg3"
"Rnf220.10",6.2267107092068e-229,-2.09868540007621,0.052,0.381,2.33265036588305e-224,"19","Rnf220"
"Lhfpl3.4",5.53523481456303e-228,-1.20245032209722,0.477,0.766,2.0736096662316e-223,"19","Lhfpl3"
"Zfp804a.6",5.03413131305643e-225,-1.44073189741762,0.25,0.584,1.8858862724972e-220,"19","Zfp804a"
"Cep112.6",1.07962790638583e-223,-1.40024047122515,0.148,0.488,4.04450206290258e-219,"19","Cep112"
"Cacna1e.4",3.14507341853497e-216,0.858389286077692,0.767,0.561,1.17820740405157e-211,"19","Cacna1e"
"Sgcz.6",9.69774427494475e-214,-1.14854725043392,0.571,0.819,3.6329689602798e-209,"19","Sgcz"
"Zmat4.6",3.88045349694344e-213,-1.49961749051448,0.145,0.472,1.45369548902495e-208,"19","Zmat4"
"Inpp4b.5",1.1223451741933e-212,0.849155526564793,0.859,0.643,4.20452949156293e-208,"19","Inpp4b"
"Adarb2.9",1.99430259092648e-212,0.561764581270618,0.791,0.468,7.47105636612878e-208,"19","Adarb2"
"Caln1.4",3.75690115778603e-211,0.990228607007782,0.603,0.358,1.4074103117298e-206,"19","Caln1"
"Pbx1.2",1.79878374014718e-210,0.819275168520493,0.811,0.683,6.73860364733936e-206,"19","Pbx1"
"Naaladl2.2",7.87789249470955e-210,-1.05711334438853,0.248,0.603,2.95121608636809e-205,"19","Naaladl2"
"Asap1.2",2.59259992381926e-208,-1.11269399037809,0.129,0.465,9.71239783461172e-204,"19","Asap1"
"Slc24a2.10",8.38913350128135e-208,-1.36650864652512,0.374,0.687,3.14273719225002e-203,"19","Slc24a2"
"2010300C02Rik.1",8.82503380273984e-206,1.07196352140649,0.309,0.119,3.3060341631824e-201,"19","2010300C02Rik"
"Lrp1b.2",1.43793017728852e-203,0.598853865597215,0.98,0.948,5.38677403015825e-199,"19","Lrp1b"
"Fgf12.2",8.87565614720837e-203,-0.670416762926231,0.779,0.907,3.3249983058672e-198,"19","Fgf12"
"Dlgap1.5",2.27053484399386e-200,0.912629807436053,0.885,0.845,8.50587763256981e-196,"19","Dlgap1"
"Grid2.4",3.07693166556777e-200,-0.867276934743197,0.661,0.891,1.152680140555e-195,"19","Grid2"
"Mgat4c.6",7.92285428980682e-200,-1.32410497779049,0.348,0.656,2.96805967404743e-195,"19","Mgat4c"
"Samd12.2",2.27170049459242e-198,0.847030291172794,0.806,0.706,8.51024439284212e-194,"19","Samd12"
"Fstl4.7",1.09195580389112e-197,-1.43990548760122,0.073,0.378,4.0906848325369e-193,"19","Fstl4"
