"Cluster","Slope_Activated_Percentage","Slope_Sac_Learner","Intercept","p_value_activated_percentage","p_value_sac_learner","r_squared","adjusted_p_values_activated","adjusted_p_values_sac_learner"
"VMH Nr5a1 Glut_1",0.172457612551773,-23.8360532555545,33.057522687093,0.191652885061058,0.000714773790000447,0.52666934568282,0.825977756298461,0.00182856893992982
"HY NSCs_1",-0.129340515542537,-18.8302275553734,42.2572864854459,0.33900108810955,0.00150000945826007,0.636911810626551,0.856667977318974,0.00204256607082222
"Mixed Meis2 Gaba",-0.469379896898991,-21.3997626149345,54.8104728960963,0.364452095252453,0.000842065573258793,0.516061210734121,0.856667977318974,0.00182856893992982
"PH-LHA-MM Foxb1 Glut",0.196017069869028,-19.2171918414993,34.4060333140853,0.374792240077051,0.00537362795657702,0.51504078241742,0.856667977318974,0.00582902015628694
"TH Prkcd Grin2c Glut_6",-0.34400733355899,-23.2395108201591,51.5524176419482,0.356058558684013,0.000527115666208739,0.516917833284668,0.856667977318974,0.00182856893992982
"PO-MEA-BST Mixed Gaba",0.3294612637255,-21.902334521637,31.0209090130905,0.398884416970869,0.00067735344039646,0.512802613884389,0.880296644349503,0.00182856893992982
"LH-MH Glut",-0.0538368409087634,-21.1177920571642,38.8681843712054,0.49505871557659,0.00153610789675066,0.58223657783552,0.924952954646599,0.00204814386233421
"LHA Pmch Glut",-0.0672893741532918,-21.0315787642654,39.4973662473312,0.505833647072359,0.00236226137745635,0.449218802832016,0.924952954646599,0.00285254204070201
"RE-Xi Nox4 Glut",-0.276904383528773,-22.3601771728732,45.51515434631,0.457160935004129,0.000625665190494282,0.508092661531774,0.924952954646599,0.00182856893992982
"TH Prkcd Grin2c Glut_5",0.0939151933194425,-23.289631928998,33.1979872004945,0.436526706796696,0.000896168299640663,0.509811541560614,0.924952954646599,0.00182856893992982
"TH Prkcd Grin2c Glut_8",-0.152640922531659,-21.7550049495903,44.9540314372283,0.469539434700979,0.000760067816147212,0.507204683140646,0.924952954646599,0.00182856893992982
"ZI Mixed Gaba",0.291696809029383,-22.4909890795224,31.6158741759235,0.504589980862512,0.000650940839532379,0.504877302399614,0.924952954646599,0.00182856893992982
"TH Prkcd Grin2c Glut_2",0.138867505603057,-21.0505522670723,32.6321964419406,0.54177975101672,0.00135128627415267,0.502682634846363,0.937132542299191,0.00204256607082222
"TH Prkcd Grin2c Glut_4",0.180372887784303,-20.9550392398898,29.9195743587914,0.529595856127975,0.0014541621018475,0.503372451652594,0.937132542299191,0.00204256607082222
"PO-COAa-PAA-MEA Barhl2 Glut",-0.110851149426485,-21.7060736954092,40.5913983842667,0.639180053863247,0.000853674846604839,0.49806942957196,0.9739886535059,0.00182856893992982
"PVH-SO-PVa Avp Glut",0.128504805816142,-22.573661557364,35.9204770683976,0.625620868621051,0.000788589461960825,0.498623388555619,0.9739886535059,0.00182856893992982
"TH Prkcd Grin2c Glut_1",-0.0876861753982814,-23.1967130030685,42.0326987066452,0.611700133252415,0.00136094900865569,0.498699112312441,0.9739886535059,0.00204256607082222
"ZI Pax6 Gaba",-0.339314166983886,-23.6878156785962,42.3327061479985,0.618254392326313,0.00185461220196995,0.498935574071198,0.9739886535059,0.00237390361852154
"ZI-PVH-SBPV Pax6-Prox1 Gaba",0.242208619200339,-22.8706280119445,35.0095445378091,0.61211072119061,0.00089046871465114,0.499202111390326,0.9739886535059,0.00182856893992982
"ARC Mixed Glut",0.0378697900475506,-21.6184083719583,35.1483036256302,0.842083613498064,0.00146279436255376,0.483887467810122,0.98567075319042,0.00204256607082222
"Chat GABA",0.0471676049717755,-21.5950317521555,35.4271265593998,0.731724812083157,0.0009914729666881,0.494949929291561,0.98567075319042,0.00182856893992982
"DMH Hmx2-Vgll1 Glut",-0.028318557135445,-21.9753389654112,38.3379735684211,0.891717894525238,0.000853012072289929,0.491911910719679,0.98567075319042,0.00182856893992982
"Hist Gaba",-0.0227658533191925,-22.8831006269987,39.4331006269987,0.937554831563789,0.109167889131544,0.319266340562595,0.98567075319042,0.109167889131544
"Lhx6 Gaba",0.0186073961274041,-21.806122273317,37.1346955149636,0.881722202917937,0.000876613842786999,0.492022881107735,0.98567075319042,0.00182856893992982
"Lhx6-Lhx8 Gaba",-0.015995691779472,-21.8928481782652,37.8028466128175,0.97026964767182,0.00084127744712799,0.491384006392297,0.98567075319042,0.00182856893992982
"PF Fzd5 Glut",0.0531753706355057,-21.0576154245955,36.8605772251798,0.743922824925032,0.00897820595141947,0.452942764994911,0.98567075319042,0.00957675301484743
"PH-LHA-PVH-SO-PVa Nxph4 Glut",-0.130245702987839,-22.0651256571813,40.6016809647128,0.839496697550837,0.000859267645342011,0.492603648338127,0.98567075319042,0.00182856893992982
"PO-MEA Glut",-0.0836429840689606,-21.6437314783395,39.3126092202233,0.716467134921827,0.000932986295355102,0.495389344943194,0.98567075319042,0.00182856893992982
"PO-MEA Slc17a7 Glut",0.0305744071822686,-24.3923784386017,37.8849377203748,0.858925635799531,0.0991184748121723,0.353992010170389,0.98567075319042,0.100691783936175
"RT-ZI Gnb3 Gaba_1",0.0522779340216575,-21.4301458380163,36.9041640224326,0.849121589543772,0.00198070371281563,0.492455156709039,0.98567075319042,0.0024855889729451
"SCsg Gabrr2 Gaba",0.0113590016740222,-22.1845989955867,39.8006239537361,0.960453400297029,0.0832158337332413,0.333074290807184,0.98567075319042,0.0859002154665717
"SI-MPO-LPO-ADP Lhx8 Gaba",-0.0744328852846537,-21.6186739069809,38.3780867436283,0.799823051998181,0.00104768417243956,0.49331867899066,0.98567075319042,0.00186254963989255
"STR D1 Gaba",0.170450874015699,-22.4091092602929,34.9936480991794,0.787154838652692,0.00111512214231191,0.493582662877104,0.98567075319042,0.00192386721962607
"STR D1-D2 Gaba",0.0162124763499907,-21.8933421074052,37.2079560437768,0.968610775346526,0.000840310074483164,0.491388918221431,0.98567075319042,0.00182856893992982
"STR-PAL Chst9 Gaba",0.181078079974696,-22.3757713521516,35.081631659525,0.724158916951151,0.000871837452517025,0.495164311400049,0.98567075319042,0.00182856893992982
"TH Prkcd Grin2c Glut_3",0.0868265151375877,-21.3015566764587,34.1153095898508,0.75337016749765,0.00158885669102141,0.494374034309242,0.98567075319042,0.0020752413923545
"TH Sema5b-Ntrk Glut",0.104288039790168,-21.5680067817938,33.7109512665834,0.807658474363737,0.00115729480399365,0.493164145689616,0.98567075319042,0.00192386721962607
"Trh Glut",0.0201643758818225,-21.8399505774894,37.0820158567009,0.960851667769492,0.000917167760841593,0.491415440835811,0.98567075319042,0.00182856893992982
"TU-ARH Otp Six6 Gaba",0.0938363668890867,-22.815222957376,36.7322200346484,0.702149820227359,0.00122012043754337,0.495827554318754,0.98567075319042,0.00195219270006939
"VMH Nr5a1 Glut_2",0.0245724814583152,-21.7613262471454,37.0891705406238,0.951579382839641,0.00142176276458545,0.491454814186461,0.98567075319042,0.00204256607082222
"TH Prkcd Grin2c Glut_7",0.00064408579701662,-21.8790184765074,37.5819254616275,0.998326806878648,0.000842618328678425,0.491341341642258,0.998326806878648,0.00182856893992982
