,AD-Serpinb7-Glut,ADP-MPO-Trp73-Glut,AHN-Onecut3-Gaba,AHN-PVHd-PVR-Mixed-Gaba,ARC-Mixed-Glut,AV-Col27a1-Glut,Chat-GABA,DMH-Gaba,DMH-Hmx2-Vgll1-Glut,GPe-SI-Sox6-Cyp26b1-Gaba,GPi-Tbr1-Cngb3-Gaba-Glut,Hist-Gaba,HY-NSCs-1,HY-NSCs-2,LH-MH-Glut,LHA-Pmch-Glut,Lhx6-Gaba,Lhx6-Lhx8-Gaba,Mixed,Mixed-Meis2-Gaba,NDB-SI-MA-STRv-Lhx8-Gaba,PF-Fzd5-Glut,PH-LHA-MM-Foxb1-Glut,PH-LHA-PVH-SO-PVa-Nxph4-Glut,Pitx2-Glut,PO-CEA-BST-Meis2-Gaba,PO-COAa-PAA-MEA-Barhl2-Glut,PO-MEA-BST-Mixed-Gaba,PO-MEA-Glut,PO-MEA-Slc17a7-Glut,PV-PT-Ntrk1-Sp9-Glut,PVH-SO-PVa-Agtr1a-Glut,PVH-SO-PVa-Avp-Glut,PVN-Mixed-Glut,PVpo-VMPO-MPN-Hmx2-Gaba,RE-Xi-Nox4-Glut,RT-ZI-Gnb3-Gaba-1,RT-ZI-Gnb3-Gaba-2,SCH-Six6-Cdc14a-Gaba,SCsg-Gabrr2-Gaba,SI-MA-LPO-LHA-Skor1-Glut,SI-MPO-LPO-ADP-Lhx8-Gaba,SNc-VTA-RAmb-Foxa1-Dopa,STN-PSTN-Pitx2-Glut,STR-D1-D2-Gaba,STR-D1-Gaba,STR-PAL-Chst9-Gaba,TH-Prkcd-Grin2c-Glut-1,TH-Prkcd-Grin2c-Glut-2,TH-Prkcd-Grin2c-Glut-3,TH-Prkcd-Grin2c-Glut-4,TH-Prkcd-Grin2c-Glut-5,TH-Prkcd-Grin2c-Glut-6,TH-Prkcd-Grin2c-Glut-7,TH-Prkcd-Grin2c-Glut-8,TH-PVT-RE-Ntrk1-Nox4-Glut,TH-Sema5b-Ntrk-Glut,Trh-Glut,TRS-BAC-Sln-Glut,TU-ARH-Otp-Six6-Gaba,VMH-Nr5a1-Glut-1,VMH-Nr5a1-Glut-2,ZI-Mixed-Gaba,ZI-Pax6-Gaba,ZI-PVH-SBPV-Pax6-Prox1-Gaba
WT-F-9,1,0,13,53,3,1,3,145,29,7,4,23,5,11,10,6,34,45,167,59,8,90,142,245,121,53,12,49,32,290,46,0,2,0,3,52,6,65,0,8,17,2,7,24,68,76,37,6,158,248,3,5,69,115,20,5,126,31,0,47,13,81,292,79,42
WT-M-1,0,11,56,179,93,6,26,51,2,40,5,1,2,10,0,1,16,79,123,95,91,0,2,24,7,158,65,125,42,0,42,13,27,18,65,59,5,96,17,0,127,50,0,0,230,207,108,3,11,48,50,2,24,58,5,12,62,88,17,4,1,39,51,27,20
WT-M-10,8,5,87,161,13,57,20,53,8,23,16,0,2,4,1,0,18,92,147,77,123,0,3,32,4,156,52,165,36,0,33,21,21,13,94,45,12,151,42,0,138,64,0,0,217,146,95,7,47,122,43,10,57,76,23,11,147,143,55,7,2,35,58,30,40
WT-M-2,6,7,86,154,11,27,12,68,8,24,11,0,22,42,1,5,6,78,104,32,86,2,6,37,3,89,20,123,23,0,38,10,28,4,62,40,12,120,19,0,88,20,0,3,98,53,37,3,38,82,28,6,37,84,7,7,122,101,11,28,9,77,57,43,39
WT-M-3,15,8,40,84,132,27,13,55,6,19,6,1,26,54,11,2,10,53,109,32,57,3,1,16,3,66,30,93,22,1,24,11,10,12,38,27,10,99,14,0,54,26,0,2,156,87,39,8,33,83,22,1,47,163,12,10,87,56,10,25,4,54,42,23,28
WT-M-4,4,9,68,135,6,10,36,42,4,15,7,0,8,9,1,2,8,77,138,71,103,0,2,34,2,94,22,142,18,0,37,13,24,7,80,43,14,101,17,1,141,68,0,0,238,181,79,4,7,53,27,2,22,114,9,15,75,127,30,2,0,25,40,21,23
WT-M-5,6,10,80,124,12,20,7,89,29,15,7,13,13,39,4,7,11,65,137,45,33,87,25,127,63,117,43,115,66,50,44,12,28,0,13,61,14,93,32,2,60,7,0,26,128,94,95,5,131,224,39,4,52,60,13,18,151,114,2,22,3,107,192,89,59
WT-M-6,16,7,48,150,127,32,16,54,6,10,2,0,2,15,2,4,21,67,125,62,67,4,2,31,3,125,69,96,65,0,35,5,15,10,31,54,9,113,7,2,81,35,0,9,161,96,72,4,67,113,34,8,40,195,12,8,118,84,16,15,5,57,54,38,31
WT-M-7,14,14,80,120,55,53,12,59,17,24,4,0,25,65,50,4,15,62,111,27,59,39,1,36,10,96,25,130,21,0,35,20,24,8,69,62,15,202,33,1,82,28,0,6,192,145,64,5,128,239,28,3,61,62,12,18,177,111,14,21,2,64,75,68,71
WT-M-8,1,5,63,119,34,16,19,62,5,25,10,1,6,30,0,4,14,73,140,67,66,1,2,26,3,93,48,128,72,2,31,20,24,17,30,37,7,103,36,0,81,23,0,2,133,98,95,9,60,94,39,7,38,80,3,3,76,87,6,22,10,81,49,38,45
WT-M-9,3,4,73,116,96,9,9,118,26,16,9,23,15,61,0,5,18,83,149,32,36,17,52,88,44,110,39,146,87,61,26,12,19,19,14,86,10,136,12,0,73,6,0,24,122,76,122,8,77,161,46,8,42,199,4,12,106,101,3,48,12,111,92,60,65
