"","X","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","cellType"
"223",7,"Kdm6a",89.1263467328641,0.508204569248474,0.103063104416721,4.93100389440649,8.18081029813278e-07,0.00322534289439812,"TH-Prkcd-Grin2c-Glut-7"
"224",8,"Arhgap26",111.639606716424,0.62279633191472,0.137291271662369,4.53631410339267,5.72459022960222e-06,0.0197484051445703,"TH-Prkcd-Grin2c-Glut-7"
"225",1,"Xist",8.32757878583536,6.79456713857405,0.682560448888157,9.95452805629439,2.40963441342768e-23,4.69734132553593e-19,"TH-Prkcd-Grin2c-Glut-8"
"226",2,"Uty",8.38507245291397,-6.58620418636266,0.856793043652935,-7.68704208694599,1.50575613941746e-14,1.4676605090902e-10,"TH-Prkcd-Grin2c-Glut-8"
"227",3,"Eif2s3y",5.31963620155307,-5.9362549866927,0.87825754925583,-6.75912776579335,1.38824934741134e-11,9.02084425947892e-08,"TH-Prkcd-Grin2c-Glut-8"
"228",4,"Ddx3y",1.87007500111305,-4.37745759863146,0.937258563950194,-4.67049090507332,3.00480787683774e-06,0.0146439311877687,"TH-Prkcd-Grin2c-Glut-8"
"229",1,"Xist",2.75225898905118,5.19405572441453,0.713024169708659,7.28454370142433,3.22760841673495e-13,5.09639369002449e-09,"TH-PVT-RE-Ntrk1-Nox4-Glut"
"230",2,"Uty",2.82340488538961,-4.96190958559597,0.881906158415997,-5.62634645222132,1.84066480600075e-08,0.000145320486433759,"TH-PVT-RE-Ntrk1-Nox4-Glut"
"231",1,"Xist",35.7096750269043,7.43089715992048,0.534146367762042,13.9117245916215,5.376718857057e-44,1.33805025476721e-39,"TH-Sema5b-Ntrk-Glut"
"232",2,"Uty",44.2644701329215,-6.79879443601095,0.667993158361297,-10.1779402242526,2.48771296858557e-24,3.09546124681102e-20,"TH-Sema5b-Ntrk-Glut"
"233",3,"Eif2s3y",28.6774853361707,-7.82149044162698,0.841845762025482,-9.29088295557664,1.53013644903007e-20,1.26929918901874e-16,"TH-Sema5b-Ntrk-Glut"
"234",4,"Kdm5d",14.9550451121924,-6.4140928258996,0.838763110159186,-7.64708503296275,2.05586384660876e-14,1.27905569216764e-10,"TH-Sema5b-Ntrk-Glut"
"235",5,"Ddx3y",10.2190841361072,-6.3397835193953,0.860113054476284,-7.37087233637623,1.69515117413716e-13,8.43710642391547e-10,"TH-Sema5b-Ntrk-Glut"
"236",6,"Tsix",1.52046647737215,4.43339063391695,0.871850130649645,5.08503752888525,3.6755338506215e-07,0.00152448892344278,"TH-Sema5b-Ntrk-Glut"
"237",7,"Slit3",162.468855731133,0.448179651676799,0.104339103700643,4.29541404690096,1.74367587738896e-05,0.0619901684067168,"TH-Sema5b-Ntrk-Glut"
"238",1,"Xist",21.395849675534,8.21885276887079,0.651444427651072,12.6163528614493,1.71585528126602e-36,4.13675549760424e-32,"Trh-Glut"
"239",2,"Uty",28.1275644075012,-6.43417263892993,0.700934927148816,-9.17941507794758,4.33439361031469e-20,5.22489477755385e-16,"Trh-Glut"
