"Cluster","Sac_Learner_Coef","Sac_Learner_P.Value","Sac_Learner_adj.P.Val","B_Sac_Learner","Sac_Learner_Ratio","Sex_Coef","Sex_P.Value","Sex_adj.P.Val","B_Sex","Sex_Ratio","AveExpr","PropMean_Learner","PropMean_NonLearner","PropMean_Male","PropMean_Female","Direct_Ratio_Learner_NonLearner","Direct_Ratio_Male_Female"
"ZI Mixed Gaba",0.0110629841864887,0.0453177537384446,0.252790315858932,-3.71844267424023,1.00769775282468,0.00333094713404412,0.204253289396401,0.811076686193293,-4.88474574901004,1.00231150403029,-3.35574671633092,0.0472835964248987,0.0246352453647512,0.042135775963502,0.036989671310437,1.91934749278176,1.13912274618166
"Hist Gaba",-0.00294699058760315,0.0599388390643801,0.252790315858932,-3.92614377516954,0.997959386671228,-0.0184682468653158,0.229272129724479,0.811076686193293,-4.96400454567803,0.987280373777003,-6.37037327475345,0.00426915101378733,0.00181326374796068,0.00397135970238041,0.00271889714460998,2.3544015693187,1.46065095189546
"SI-MPO-LPO-ADP Lhx8 Gaba",-0.00242412838609074,0.0613572343627185,0.252790315858932,-3.94357396180059,0.998321133120203,0.00136618598852968,0.246236144293717,0.811076686193293,-5.01224034047019,1.0009474164818,-5.56507397188154,0.00610924721685199,0.0106662855673322,0.00548358598938077,0.0109495478880375,0.572762390270414,0.500804786229726
"Pitx2 Glut",0.00635723395401504,0.0662269373869108,0.252790315858932,-4.00036299816337,1.00441622168324,-0.02608061972074,0.256153895664996,0.811076686193293,-5.03770035955144,0.982084713527918,-5.05864399005042,0.0164424267435523,0.00807623360134143,0.0147956059162536,0.0122153005038743,2.03590281747438,1.21123552478803
"PH-LHA-PVH-SO-PVa Nxph4 Glut",-0.0154532783778546,0.0678766633732892,0.252790315858932,-4.02027776157319,0.989345766388148,-0.00211087148631471,0.283356221421138,0.811076686193293,-5.10459820921631,0.998537925254968,-3.73604856319019,0.0363173821982656,0.0175482125753077,0.030864118012822,0.0297651811548733,2.06957728842242,1.03692021399872
"GPe-SI Sox6 Cyp26b1 Gaba",0.0118173445639298,0.0756159996183242,0.252790315858932,-4.10011848333894,1.00822479839525,-0.0102510848021268,0.289709439734616,0.811076686193293,-5.11902718271696,0.992919673926885,-5.50722644704411,0.00401226808898715,0.0062874915638206,0.00438570312227278,0.00528589592920562,0.638134945909826,0.829699105130108
"NDB-SI-MA-STRv Lhx8 Gaba",-0.00529455875043763,0.076937158286841,0.252790315858932,-4.11262682786635,0.996336817413607,0.00169845838016302,0.291968416601555,0.811076686193293,-5.1239160598256,1.00117797490557,-4.50063469241955,0.012125540012968,0.022025112453371,0.0134278847608133,0.0182046091335616,0.550532490521391,0.737609067148715
"STR-PAL Chst9 Gaba",-0.0202517289679245,0.0770710931260911,0.252790315858932,-4.11390677848887,0.986060636470723,0.00539861152435157,0.300514502804958,0.811076686193293,-5.14248933582092,1.00374904250146,-4.22328213406942,0.0168838328587885,0.0289839072933659,0.0203656555562792,0.0211641903917852,0.58252438803008,0.962269530715618
"DMH Gaba",-0.0108120846384389,0.0799003059439984,0.252790315858932,-4.14064793265861,0.992533646754716,0.007872236191068,0.301013792656493,0.811076686193293,-5.14283828777736,1.00547153277745,-3.3901200242758,0.0401900916704125,0.025870611739386,0.0361324162121392,0.035019984158346,1.55350372365668,1.0317656355515
"ZI Pax6 Gaba",0.00226753464130257,0.0853461888927837,0.252790315858932,-4.1889645589375,1.00157297106666,-0.000922917477271478,0.303623468487648,0.811076686193293,-5.14900964335383,0.999360486928448,-4.05745775276861,0.023764304883817,0.0127199702652017,0.0212508085558695,0.0187498532482169,1.86826732990324,1.13338532704998
