"","BaselineProp.clusters","BaselineProp.Freq","PropMean.Din","PropMean.Simona","PropRatio","Tstatistic","P.Value","FDR"
"DMH Hmx2-Vgll1 Glut","DMH Hmx2-Vgll1 Glut",0.00691874228935347,0.00692228969044095,0.00607321431119861,1.13980658935034,0.516435254791927,0.612271639082974,0.978622271927436
"ZI Mixed Gaba","ZI Mixed Gaba",0.0391284051882231,0.0345146377132567,0.0446325915005383,0.773305706724209,-0.481732648425065,0.636202247642186,0.978622271927436
"AHN Onecut3 Gaba","AHN Onecut3 Gaba",0.0190890600513487,0.0198137611678044,0.0172248049914974,1.1503039469872,0.458815275692947,0.652238447952171,0.978622271927436
"SCH Six6 Cdc14a Gaba","SCH Six6 Cdc14a Gaba",0.00535160548164449,0.00662165440085908,0.00472725370240281,1.40074022206453,0.454879717540126,0.655094591769895,0.978622271927436
"AHN-PVHd-PVR Mixed Gaba","AHN-PVHd-PVR Mixed Gaba",0.0395285252242339,0.043763160366347,0.0386591989323229,1.13202450063591,0.436146249557577,0.668275417175494,0.978622271927436
"DMH Gaba","DMH Gaba",0.0363775799406489,0.0379834204084662,0.0339511249124672,1.11876765516298,0.418764805425629,0.680685183807452,0.978622271927436
"STR-PAL Chst9 Gaba","STR-PAL Chst9 Gaba",0.0198893001233703,0.0231914530449925,0.0187001696220618,1.2401734055734,0.40484977104147,0.69068872096305,0.978622271927436
"ZI Pax6 Gaba","ZI Pax6 Gaba",0.0200060018005402,0.0190073297088078,0.0213284330095935,0.891173284988091,-0.394160963413526,0.698413278308743,0.978622271927436
"RE-Xi Nox4 Glut","RE-Xi Nox4 Glut",0.0173552065619686,0.0164579850766764,0.0168420690835799,0.977194963101184,-0.35711326325586,0.725446895518062,0.978622271927436
"Pitx2 Glut","Pitx2 Glut",0.0128871994931813,0.0111901652773769,0.015879633916016,0.704686602761704,-0.349541874679416,0.731082282936295,0.978622271927436
"Mixed","Mixed",0.0536827714981161,0.053599686613695,0.0505383179699129,1.06057519851778,0.346350080342459,0.733373231690231,0.978622271927436
"PVpo-VMPO-MPN Hmx2 Gaba","PVpo-VMPO-MPN Hmx2 Gaba",0.0109532859857957,0.0114068591973606,0.0107736927961468,1.05876967286837,0.314194087563928,0.757292078968486,0.978622271927436
"STN-PSTN Pitx2 Glut","STN-PSTN Pitx2 Glut",0.00658530892601114,0.00740525628756211,0.00658989109336754,1.12372969183287,0.300540479048127,0.767500305830587,0.978622271927436
"PO-CEA-BST Meis2 Gaba","PO-CEA-BST Meis2 Gaba",0.0274749091394085,0.0256567237118218,0.024556262953226,1.0448138530155,-0.281361012363396,0.781864587732568,0.978622271927436
"PVH-SO-PVa Avp Glut","PVH-SO-PVa Avp Glut",0.00596845720382781,0.00565495587779576,0.0057875032011344,0.977097667382257,0.268053002431562,0.791917195721396,0.978622271927436
"TH Prkcd Grin2c Glut_5","TH Prkcd Grin2c Glut_5",0.0019839285118869,0.00192522213255334,0.00218690721339721,0.880340108057279,-0.25075972656924,0.805036561528793,0.978622271927436
"NDB-SI-MA-STRv Lhx8 Gaba","NDB-SI-MA-STRv Lhx8 Gaba",0.0151878897002434,0.0158822183360832,0.01470344156188,1.08017012678578,0.247033330753399,0.807871566697331,0.978622271927436
"GPe-SI Sox6 Cyp26b1 Gaba","GPe-SI Sox6 Cyp26b1 Gaba",0.00501817211830216,0.0049550402571615,0.0045430138886479,1.09069449898517,0.231860875568549,0.819442668820426,0.978622271927436
"HY NSCs_1","HY NSCs_1",0.00296755693374679,0.00240858687416767,0.00248893739798972,0.967716936598343,0.23118450175288,0.819999955458915,0.978622271927436
"PH-LHA-PVH-SO-PVa Nxph4 Glut","PH-LHA-PVH-SO-PVa Nxph4 Glut",0.0288920009336134,0.0281677246955173,0.0322286882432043,0.873995382094295,-0.228175883616129,0.822259587200895,0.978622271927436
"ARC Mixed Glut","ARC Mixed Glut",0.0126037811343403,0.00769298851371565,0.0166545961862066,0.461913842143289,-0.208524922931287,0.837359011791767,0.978622271927436
"Chat GABA","Chat GABA",0.00388449868293821,0.00423713049858387,0.00368135065011735,1.15097172241628,0.196594130599252,0.846500311252759,0.978622271927436
"Lhx6-Lhx8 Gaba","Lhx6-Lhx8 Gaba",0.0180720882931546,0.0173685444064741,0.0183349278189917,0.947292761550088,-0.145648264433427,0.885929782904637,0.978622271927436
"Lhx6 Gaba","Lhx6 Gaba",0.003567736987763,0.0030988101630625,0.00376116050806558,0.823897346687889,-0.138800139621974,0.891255900753725,0.978622271927436
"HY NSCs_2","HY NSCs_2",0.0115534660398119,0.0079703052369016,0.0124244399978982,0.641502171385583,-0.13664819815889,0.892954214228397,0.978622271927436
"VMH Nr5a1 Glut_2","VMH Nr5a1 Glut_2",0.027541595812077,0.0272711160635402,0.0256217243159518,1.06437473634675,0.130184299866196,0.897964438352217,0.978622271927436
"PH-LHA-MM Foxb1 Glut","PH-LHA-MM Foxb1 Glut",0.0114867793671435,0.015233940470818,0.0111482464626536,1.36648759263185,-0.126831155292044,0.900599283203838,0.978622271927436
"TH Prkcd Grin2c Glut_7","TH Prkcd Grin2c Glut_7",0.0371278050081691,0.0376106837118441,0.0391410812365687,0.960900479077854,-0.125143805112448,0.90189283844528,0.978622271927436
"GPi Tbr1 Cngb3 Gaba-Glut","GPi Tbr1 Cngb3 Gaba-Glut",0.00321763195625354,0.00308488515055036,0.00305788402268366,1.00883000390676,-0.100539613756054,0.921104286371608,0.978622271927436
"Hist Gaba","Hist Gaba",0.00325097529258778,0.00391077929312181,0.00318350275995682,1.22845167351916,0.0928423423809625,0.927141297571112,0.978622271927436
"TH-PVT-RE Ntrk1-Nox4 Glut","TH-PVT-RE Ntrk1-Nox4 Glut",0.00288419859291121,0.00268380653378127,0.00261099920052728,1.02788485467145,0.0892036031336824,0.929973362513716,0.978622271927436
"RT-ZI Gnb3 Gaba_2","RT-ZI Gnb3 Gaba_2",0.0383615084525358,0.0395072364834365,0.0370649974263824,1.06589071163177,0.0847568336638495,0.93345509014617,0.978622271927436
"ZI-PVH-SBPV Pax6-Prox1 Gaba","ZI-PVH-SBPV Pax6-Prox1 Gaba",0.0150378446867394,0.0153281262987263,0.0146331068348323,1.04749637050688,0.0567232432797181,0.955433858191619,0.98136978391137
"SNc-VTA-RAmb Foxa1 Dopa","SNc-VTA-RAmb Foxa1 Dopa",0.000266746690673869,0.000293808717554025,0.000285777997678567,1.02810125321296,-0.0429184382977242,0.96627178723581,0.98136978391137
"LHA Pmch Glut","LHA Pmch Glut",0.00155046513954186,0.00135830318166195,0.00167566672249336,0.810604616913809,-0.00647928113592098,0.994906524134953,0.994906524134953
